"grape_variety","index","location","price","rated_by","ratings","timestamp","timestampString","uid","url","url_uid","wine_vintage","wine_vintage_link"
"Bordeaux Red Blends",1,"St. Estephe, Bordeaux, France","64","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","xiuq1d4TEM7DJmkfnUsi","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Chateau Cos d'Estournel Pagodes de Cos 2020","https://www.wine.com/product/chateau-cos-destournel-pagodes-de-cos-2020/748182"
"Grenache",1,"Santa Maria Valley, Central Coast, California","84","JD","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","WSPnBaHD1Mr2WnBatyu2","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Paul Lato Ora et Labora Bien Nacido Vineyard Grenache 2018","https://www.wine.com/product/paul-lato-ora-et-labora-bien-nacido-vineyard-grenache-2018/688165"
"Sangiovese",2,"Chianti, Tuscany, Italy","41","D","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","ukS4MZWUoGv7mRUR2Oax","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Selvapiana Chianti Rufina Riserva Bucerchiale 2020","https://www.wine.com/product/selvapiana-chianti-rufina-riserva-bucerchiale-2020/1508248"
"Cabernet Sauvignon",2,"Rutherford, Napa Valley, California","134","JD","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","5kVkSyZ6nSU6FpVzElPm","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Addendum Skellenger Lane Cabernet Sauvignon 2018","https://www.wine.com/product/addendum-skellenger-lane-cabernet-sauvignon-2018/1416152"
"Pinot Noir",3,"Willamette Valley, Oregon","29","JD","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","kLeCKMpumDaNXanBUkr9","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Purple Hands Lone Oak Pinot Noir 2022","https://www.wine.com/product/purple-hands-lone-oak-pinot-noir-2022/1364018"
"Pinot Noir",3,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France","119","JS","92",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","ffC9SVRu8JP3vAkjpCKE","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Domaine Henri Gouges Nuits-St-Georges Les Chenes Carteaux 2020","https://www.wine.com/product/domaine-henri-gouges-nuits-st-georges-les-chenes-carteaux-2020/1230517"
"Cabernet Sauvignon",4,"Paso Robles, Central Coast, California","40","WS","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","XwgulyvkwUcdr0IPNyDI","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Pandemonium Cabernet Sauvignon 2021","https://www.wine.com/product/pandemonium-cabernet-sauvignon-2021/1757815"
"Pinot Noir",4,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France","169","WS","92",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","XbsnNA6cQ4y3hszpdeY4","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Faiveley Nuits-St-Georges Les Porets-Saint-Georges Premier Cru 2021","https://www.wine.com/product/faiveley-nuits-st-georges-les-porets-saint-georges-premier-cru-2021/1527863"
"Cabernet Sauvignon",5,"Margaret River, Western Australia, Australia","17","WE","92",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","uDiObRluDgdt1XFtSlKj","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Ringbolt Cabernet Sauvignon 2020","https://www.wine.com/product/ringbolt-cabernet-sauvignon-2020/801556"
"Pinot Noir",5,"Santa Cruz Mountains, California","52","TP","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","jrN772QpLURn8C8TMuRZ","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Thomas Fogarty Santa Cruz Mountains Pinot Noir 2021","https://www.wine.com/product/thomas-fogarty-santa-cruz-mountains-pinot-noir-2021/1748118"
